stock_name,date,closing_price
NTL,06/03/2021,27.1
NTL,06/02/2021,26.9
NTL,06/01/2021,26.5
NTL,05/31/2021,25.85
NTL,05/28/2021,26.2
NTL,05/27/2021,25.9
NTL,05/26/2021,25.7
NTL,05/25/2021,25.65
NTL,05/24/2021,25.7
NTL,05/21/2021,24.6
NTL,05/20/2021,24.25
NTL,05/19/2021,24.0
NTL,05/18/2021,24.2
NTL,05/17/2021,24.65
NTL,05/14/2021,25.25
NTL,05/13/2021,25.35
NTL,05/12/2021,24.8
NTL,05/11/2021,24.45
NTL,05/10/2021,23.95
NTL,05/07/2021,23.9
NTL,05/06/2021,24.5
NTL,05/05/2021,24.8
NTL,05/04/2021,23.95
NTL,04/29/2021,24.25
NTL,04/28/2021,24.0
NTL,04/27/2021,23.7
NTL,04/26/2021,24.0
NTL,04/23/2021,25.25
NTL,04/22/2021,24.4
NTL,04/20/2021,26.0
NTL,04/19/2021,26.3
NTL,04/16/2021,26.3
NTL,04/15/2021,26.8
NTL,04/14/2021,27.6
NTL,04/13/2021,27.45
NTL,04/12/2021,28.05
NTL,04/09/2021,28.15
NTL,04/08/2021,28.5
NTL,04/07/2021,27.6
NTL,04/06/2021,27.15
NTL,04/05/2021,27.35
NTL,04/02/2021,27.75
NTL,04/01/2021,27.6
NTL,03/31/2021,26.9
NTL,03/30/2021,27.0
NTL,03/29/2021,27.2
NTL,03/26/2021,26.9
NTL,03/25/2021,27.0
NTL,03/24/2021,27.3
NTL,03/23/2021,28.5
NTL,03/22/2021,29.0
NTL,03/19/2021,28.3
NTL,03/18/2021,27.3
NTL,03/17/2021,27.1
NTL,03/16/2021,27.25
NTL,03/15/2021,27.6
NTL,03/12/2021,27.85
NTL,03/11/2021,27.75
NTL,03/10/2021,27.6
NTL,03/09/2021,27.25
NTL,03/08/2021,26.8
NTL,03/05/2021,26.7
NTL,03/04/2021,27.0
NTL,03/03/2021,27.4
NTL,03/02/2021,27.65
NTL,03/01/2021,28.4
NTL,02/26/2021,27.8
NTL,02/25/2021,27.75
NTL,02/24/2021,27.3
NTL,02/23/2021,26.2
NTL,02/22/2021,26.05
NTL,02/19/2021,26.2
NTL,02/18/2021,26.15
NTL,02/17/2021,25.25
NTL,02/08/2021,23.25
NTL,02/05/2021,24.05
NTL,02/04/2021,23.6
NTL,02/03/2021,23.9
NTL,02/02/2021,22.6
NTL,02/01/2021,22.65
NTL,01/29/2021,24.35
NTL,01/28/2021,24.35
NTL,01/27/2021,26.15
NTL,01/26/2021,26.0
NTL,01/25/2021,24.85
NTL,01/22/2021,23.25
NTL,01/21/2021,23.05
NTL,01/20/2021,22.6
NTL,01/19/2021,22.8
NTL,01/18/2021,24.4
NTL,01/15/2021,24.4
NTL,01/14/2021,24.3
NTL,01/13/2021,24.45
NTL,01/12/2021,26.4
NTL,01/11/2021,26.6
NTL,01/08/2021,26.65
NTL,01/07/2021,26.85
NTL,01/06/2021,26.0
NTL,01/05/2021,26.45
NTL,01/04/2021,25.8
NTL,12/31/2020,25.25
NTL,12/30/2020,24.4
NTL,12/29/2020,24.25
NTL,12/28/2020,23.8
NTL,12/25/2020,23.95
NTL,12/24/2020,23.6
NTL,12/23/2020,23.9
NTL,12/22/2020,24.2
NTL,12/21/2020,22.65
NTL,12/18/2020,23.0
NTL,12/17/2020,23.25
NTL,12/16/2020,23.0
NTL,12/15/2020,22.7
NTL,12/14/2020,22.55
NTL,12/11/2020,22.35
NTL,12/10/2020,22.35
NTL,12/09/2020,22.45
NTL,12/08/2020,22.5
NTL,12/07/2020,21.6
NTL,12/04/2020,21.35
NTL,12/03/2020,21.4
NTL,12/02/2020,21.1
NTL,12/01/2020,21.1
NTL,11/30/2020,21.1
NTL,11/27/2020,21.3
NTL,11/26/2020,20.6
NTL,11/25/2020,20.6
NTL,11/24/2020,21.2
NTL,11/23/2020,21.65
NTL,11/20/2020,20.85
NTL,11/19/2020,20.8
NTL,11/18/2020,21.0
NTL,11/17/2020,21.0
NTL,11/16/2020,20.2
NTL,11/13/2020,20.9
NTL,11/12/2020,20.8
NTL,11/11/2020,20.25
NTL,11/10/2020,19.5
NTL,11/09/2020,18.9
NTL,11/06/2020,17.7
NTL,11/05/2020,17.7
NTL,11/04/2020,18.0
NTL,11/03/2020,17.8
NTL,11/02/2020,17.45
NTL,10/30/2020,17.0
NTL,10/29/2020,16.95
NTL,10/28/2020,17.0
NTL,10/27/2020,17.1
NTL,10/26/2020,17.4
NTL,10/23/2020,18.3
NTL,10/22/2020,18.4
NTL,10/21/2020,18.45
NTL,10/20/2020,18.5
NTL,10/19/2020,18.5
NTL,10/16/2020,18.5
NTL,10/15/2020,17.9
NTL,10/14/2020,18.0
NTL,10/13/2020,17.9
NTL,10/12/2020,17.75
NTL,10/09/2020,18.6
NTL,10/08/2020,18.6
NTL,10/07/2020,18.5
NTL,10/06/2020,18.8
NTL,10/05/2020,18.8
NTL,10/02/2020,18.05
NTL,10/01/2020,18.15
NTL,09/30/2020,17.85
NTL,09/29/2020,17.4
NTL,09/28/2020,17.65
NTL,09/25/2020,16.95
NTL,09/24/2020,17.0
NTL,09/23/2020,17.2
NTL,09/22/2020,17.4
NTL,09/21/2020,17.5
NTL,09/18/2020,17.1
NTL,09/17/2020,17.1
NTL,09/16/2020,17.2
NTL,09/15/2020,17.0
NTL,09/14/2020,17.3
NTL,09/11/2020,16.8
NTL,09/10/2020,16.0
NTL,09/09/2020,16.0
NTL,09/08/2020,16.1
NTL,09/07/2020,16.0
NTL,09/04/2020,16.2
NTL,09/03/2020,16.2
NTL,09/01/2020,16.2
NTL,08/31/2020,16.25
NTL,08/28/2020,16.5
NTL,08/27/2020,16.55
NTL,08/26/2020,16.25
NTL,08/25/2020,16.3
NTL,08/24/2020,16.15
NTL,08/21/2020,15.95
NTL,08/20/2020,15.95
NTL,08/19/2020,15.95
NTL,08/18/2020,15.8
NTL,08/17/2020,15.8
NTL,08/14/2020,15.5
NTL,08/13/2020,15.6
NTL,08/12/2020,15.35
NTL,08/11/2020,15.35
NTL,08/10/2020,15.4
NTL,08/07/2020,15.2
NTL,08/06/2020,15.25
NTL,08/05/2020,15.25
NTL,08/04/2020,15.15
NTL,08/03/2020,15.1
NTL,07/31/2020,14.65
NTL,07/30/2020,14.7
NTL,07/29/2020,14.3
NTL,07/28/2020,14.65
NTL,07/27/2020,14.25
NTL,07/24/2020,15.3
NTL,07/23/2020,15.95
NTL,07/22/2020,15.95
NTL,07/21/2020,15.95
NTL,07/20/2020,16.05
